 CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1        -43.364493          0.08          -685.706893          0.10           -17.044582        -685.734055          0.93                8.46         
 CONF2        -43.362114          1.57          -685.705746          0.82           -18.266080        -685.734855          0.43               19.72         
 CONF3        -43.362396          1.40          -685.706762          0.19           -18.055682        -685.735535          0.00               40.56         
 CONF4        -43.364620          0.00          -685.705507          0.97           -16.618351        -685.731991          2.22                0.95         
 CONF5        -43.362889          1.09          -685.704937          1.33           -17.699243        -685.733142          1.50                3.22         
 CONF6        -43.362155          1.55          -685.705091          1.23           -17.684193        -685.733273          1.42                3.69         
 CONF7        -43.359995          2.90          -685.701707          3.36           -18.623983        -685.731386          2.60                0.50         
 CONF9        -43.362186          1.53          -685.703315          2.35           -17.077608        -685.730530          3.14                0.20         
CONF12        -43.360013          2.89          -685.700241          4.28           -18.253794        -685.729330          3.89                0.06         
CONF14        -43.360839          2.37          -685.701507          3.48           -17.714530        -685.729737          3.64                0.09         
CONF16        -43.357633          4.38          -685.701706          3.36           -19.568067        -685.732890          1.66                2.46         
CONF20        -43.360401          2.65          -685.703331          2.34           -17.738330        -685.731599          2.47                0.63         
CONF23        -43.360292          2.72          -685.701710          3.36           -17.699642        -685.729916          3.53                0.11         
CONF24        -43.360718          2.45          -685.702524          2.85           -17.380191        -685.730221          3.33                0.15         
CONF27        -43.358754          3.68          -685.702699          2.74           -18.469125        -685.732131          2.14                1.10         
CONF28        -43.359171          3.42          -685.700320          4.23           -18.206306        -685.729333          3.89                0.06         
CONF29        -43.358684          3.72          -685.702412          2.92           -18.461299        -685.731832          2.32                0.80         
CONF30        -43.358363          3.93          -685.701196          3.68           -18.653828        -685.730923          2.89                0.31         
CONF32        -43.360612          2.52          -685.702184          3.06           -17.226274        -685.729636          3.70                0.08         
CONF33        -43.357279          4.61          -685.699738          4.59           -19.259552        -685.730430          3.20                0.18         
CONF38        -43.359637          3.13          -685.703986          1.93           -17.712308        -685.732213          2.08                1.20         
CONF39        -43.357242          4.63          -685.700972          3.82           -19.196628        -685.731563          2.49                0.60         
CONF44        -43.358890          3.60          -685.700349          4.21           -18.105509        -685.729202          3.97                0.05         
CONF45        -43.358988          3.53          -685.702917          2.60           -18.036913        -685.731661          2.43                0.67         
CONF46        -43.356180          5.30          -685.701107          3.73           -19.797525        -685.732657          1.81                1.92         
